,session,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,hex21,hex22,hex23,hex24,check1,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,age,sex,relation_type,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,check2,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,phex22,phex23,phex24,phex25,phex26,phex27,phex28,sex_partner,age_p,year,months,length,comit01,comit02,comit03,comit04,comit05,comit06,comit07,satis01,satis02,satis03,satis04,satis05,satis06,satis07,pHH,pEM,pEX,pAG,pCO,pOP,HH,EM,EX,AG,CO,OP,satis,commit
780,nhsTUskN3miEFqE5xxBgxwwaWQEowM3OSjgWqltmk1IYav0_tjBfl9UveyOSWl7l,1,4,2,4,2,4,2,4,2,2,5,2,2,2,4,2,5,2,4,2,2,4,4,2,2,4,4,2,2,5,4,2,2,4,2,2,3,3,4,4,3,1,5,5,2,3,2,5,1,4,2,4,4,2,2,2,2,4,2,2,2,25,2,3,4,4,2,1,2,5,1,2,4,4,4,4,1,5,4,3,2,2,4,5,2,4,2,2,2,2,4,4,2,4,2,2,2,4,4,2,4,2,2,2,4,2,2,4,2,2,3,3,4,5,2,4,2,4,4,3,2,2,4,1,2,1,25,0,3,3,9,9,1,1,9,9,9,5,5,5,2,4,4,2,2.9,4.1,3.9,2.4,3.5,2.6,3.1,4.3,3.1,3.1,3.6,3.3,4.428571429,8.428571429
784,F-xlHLN4XDwnYXiAbwFUV_gVc5XRi0gs3aEIEw2rEg1zPpyNfxej6dIr-mknB8wd,2,2,4,4,4,4,2,2,2,3,4,1,2,3,4,3,5,3,2,4,3,4,2,3,2,4,4,5,2,5,2,4,4,4,3,4,5,4,4,4,4,2,3,3,4,3,2,4,2,5,3,4,2,2,5,3,4,4,2,2,1,26,2,3,4,2,4,2,3,3,2,5,4,4,3,3,4,3,4,4,3,3,4,4,3,1,2,3,2,4,4,5,2,4,3,3,1,3,4,2,4,3,5,2,2,4,3,3,1,4,4,4,4,4,2,4,2,4,2,2,4,4,4,2,3,1,26,1,2,14,4,8,3,4,5,6,8,3,3,3,3,2,3,4,3.8,3.1,3.2,2.4,3,3.1,4.1,3.8,3.5,3.5,2.4,2.9,2.714285714,5.714285714
785,8QShFOi3GxA28inua6m2TIDqDc1L5fgwX3HntM6GTGOVtXLnxA4wKZPEyo6kf7gj,1,2,2,3,2,5,5,2,1,5,2,1,2,2,4,2,4,5,2,2,1,5,2,3,2,5,4,2,2,4,2,4,4,3,2,4,5,2,3,2,3,1,3,5,2,5,4,1,3,2,2,4,2,4,5,2,4,4,3,2,1,25,2,4,3,3,2,4,4,2,5,2,2,4,4,2,2,2,4,4,5,1,4,2,2,3,1,5,2,4,2,4,4,2,2,2,1,2,5,2,2,4,2,5,2,1,4,2,1,1,2,4,4,2,5,2,2,1,5,2,2,2,4,4,1,1,28,2,7,31,9,9,1,1,9,9,9,5,5,5,1,5,5,2,3.6,2.6,3.3,4,2.8,3.1,4.3,2.8,2.9,3.2,2.7,3.8,4.857142857,8.428571429
786,S-dyDIDISomWWhyRmhnUBKKfQtKwocHYgAasgQ7RW6o5F-4ocuUTeakTNy9dGPJu,3,4,2,5,4,2,4,3,1,2,4,3,2,2,1,4,3,1,4,4,3,4,2,5,2,1,4,1,1,5,4,3,4,4,4,3,2,4,4,4,4,3,5,4,3,2,2,3,5,3,3,3,3,3,4,4,4,3,4,3,4,23,2,3,3,4,2,2,4,3,4,3,5,4,3,4,4,2,5,4,5,2,4,3,3,2,2,5,2,4,2,4,4,2,2,2,3,1,1,3,4,2,3,5,2,1,3,3,2,5,2,1,4,4,3,4,2,1,4,3,3,4,5,3,1,1,27,0,4,4,9,9,3,5,9,8,9,4,4,4,2,4,3,2,3,2.8,3.7,4.2,2.6,4.1,1.9,3.3,4.1,3.2,2.9,2.8,3.857142857,7.428571429
787,xY31aCXCfLi37u9R1pEWhe8lLN4CmK85NDRWwdIsMxW8bXgwwp0slNBEAJmKwU3O,2,5,5,5,5,5,5,2,1,4,2,1,4,1,2,2,3,5,5,1,1,5,4,3,2,5,3,5,1,4,2,2,1,5,1,5,5,4,4,3,2,2,1,5,1,5,2,4,1,1,3,5,1,3,5,1,1,4,1,4,1,24,2,3,2,2,1,1,5,4,2,5,5,5,4,1,2,1,5,1,5,1,4,4,2,2,3,5,1,4,5,1,1,4,5,4,1,1,5,5,5,2,5,5,2,1,1,1,1,4,1,1,2,5,5,5,1,1,5,2,3,5,2,5,1,2,26,4,8,56,9,9,1,1,9,9,9,5,5,5,1,5,5,2,4.6,2.8,4.2,4.6,4.4,4.4,4.7,3.2,3.2,4.4,4.2,4.2,4.857142857,8.428571429
792,3bQ_rFHuaqFFwNU756Len400h_AqIhyHgCoUN6SyONcm4fjtxuw0zmHkw6EYvZj7,4,5,4,4,4,4,4,1,1,2,2,1,2,1,2,4,3,2,4,2,1,5,2,2,2,2,4,4,2,4,2,4,2,4,3,2,5,3,4,4,4,2,4,4,2,3,2,4,1,2,2,4,1,2,4,4,2,2,3,3,1,25,2,3,2,2,2,2,4,3,2,4,3,4,4,4,2,3,4,2,3,2,4,3,1,3,3,4,1,4,4,2,3,3,3,2,1,3,4,4,4,3,4,4,1,2,3,2,1,2,2,2,3,2,2,4,3,2,4,2,2,2,3,3,2,1,27,0,0,0,9,9,1,1,9,9,9,5,5,5,1,4,4,2,4,2.8,3.7,3.7,3.3,3.1,4,3.4,4,4.1,3.5,2.7,4.571428571,8.428571429
793,jQvhvCH3fhUPSuhxLoX3JZerv62ciqtMipnnJSsdnUN6kuUWjjVXF-Cs1C6ezP-2,2,4,4,4,2,3,4,4,1,3,1,1,4,2,2,3,4,2,2,2,1,4,4,4,2,3,2,4,3,3,3,4,2,4,2,3,4,3,4,4,3,3,3,2,2,3,3,4,4,3,4,4,2,4,3,2,2,2,3,2,1,23,1,3,4,2,3,2,3,2,2,4,3,4,2,2,4,2,3,2,3,3,4,4,4,2,4,3,2,3,4,2,2,2,2,2,1,3,4,4,4,4,5,3,5,4,3,2,1,3,2,4,3,4,4,3,2,2,3,4,2,4,3,3,3,2,24,1,6,18,8,9,3,2,7,8,8,3,4,4,2,3,4,2,4.1,3.5,2.9,3,4,3.3,3.2,3,3.2,4.1,4,3.3,3.714285714,7.285714286
796,2Gyx164V_Hf8vjBoOEhjLgVj5qeC1leP0nxONh5KrjxMuAeEzD15nvll49LJp-sg,2,4,1,4,4,4,2,2,1,2,4,1,1,2,2,3,2,2,2,2,1,4,2,3,2,4,4,2,1,4,2,4,2,4,2,4,2,2,4,4,3,2,4,4,3,4,2,4,2,4,2,4,1,1,4,4,2,2,4,2,1,23,2,3,4,2,3,2,4,3,4,2,2,3,4,3,2,4,4,4,4,2,4,4,2,2,2,4,3,2,3,3,3,3,3,2,1,3,3,3,4,4,2,3,2,2,2,3,1,2,3,2,3,4,2,3,3,2,2,3,3,4,4,2,2,1,23,8,0,96,7,7,1,2,7,7,7,3,3,4,3,3,3,2,3.2,3.6,3.3,3.6,2.7,3.1,3.5,3.5,3.8,3.7,3.3,2.7,3.285714286,6.857142857
798,1Cg7n5mBM0Qh1wXsOmCavllptn3tjl605XKEt7w1qXk8eZg_LoZshWXFsQ0Lhfjn,2,4,2,3,5,4,3,2,2,2,5,2,5,4,1,4,5,4,2,3,2,5,2,3,2,4,4,2,2,4,4,4,2,4,4,4,3,5,2,4,4,2,4,5,4,4,1,5,3,2,2,4,4,2,5,2,3,2,2,2,2,24,2,3,4,3,4,2,4,4,2,3,3,5,3,3,2,4,4,2,4,2,4,3,2,4,2,5,3,3,3,2,1,2,2,4,2,2,5,5,3,2,4,4,4,1,3,5,1,2,2,1,3,5,4,1,2,1,3,2,3,2,4,2,2,1,25,6,3,75,9,9,1,1,9,9,9,4,4,4,1,3,4,2,3.5,3.4,3.2,4.2,3.9,3.2,3.4,4,3.7,3.7,2.6,4,4,8.428571429
802,RYiEU3z8GJ6H2C5bx5SA9vnFqGTy0dBN8i6Ot66s6KvgiI-6CMOLXPuDQz5uhqUq,2,4,2,4,4,4,3,3,3,2,4,2,3,2,3,3,4,4,3,2,3,4,3,3,2,4,3,3,2,4,2,3,2,4,3,4,4,2,4,3,3,3,3,4,3,3,2,4,2,4,4,3,3,3,4,2,2,3,3,2,1,25,2,3,3,1,2,2,4,2,3,4,4,4,3,3,2,1,3,1,4,2,4,3,2,3,3,4,2,3,5,1,3,2,3,2,1,1,4,4,5,3,5,5,2,3,3,2,1,4,2,3,3,3,4,2,2,2,4,3,3,4,2,4,3,1,24,3,0,36,9,9,1,1,9,9,9,3,4,4,1,4,4,2,4.5,3.1,3.4,3.7,3.7,4.1,3.9,3.5,3.5,3,3.7,3.2,4,8.428571429
804,sSp1keeeWkI80yHu34UzG8XFHqOULKpM_mvm2hgPYNEidROpoHs6ivDhKmn_HfcX,2,3,2,5,4,5,2,2,4,2,2,1,2,2,4,2,4,2,1,3,4,5,4,2,2,4,4,3,1,4,2,2,2,4,2,4,5,4,4,4,2,2,2,3,3,2,5,4,2,2,4,3,2,2,5,2,4,2,2,2,1,26,2,3,2,2,2,2,4,3,2,5,4,4,4,2,2,2,3,2,4,4,4,4,2,2,3,4,2,4,4,3,2,2,2,2,1,2,4,2,5,2,4,3,2,2,2,2,1,2,2,2,3,4,3,2,2,1,4,4,3,3,2,4,2,1,26,0,1,1,8,8,2,1,8,8,8,3,3,3,1,3,3,2,4.1,3.2,3.3,3.9,3.7,3.4,4.3,3.6,3.2,2.8,3.1,3.6,3.428571429,7.571428571
811,HekS_LEPOBhWeLOS9RgqWGEW9Lt-N8grnK5MK9gJAM_xWgcsfwONb2PBiu2XR0a1,2,5,1,2,5,4,2,5,2,4,5,3,4,5,4,2,5,1,5,4,5,4,2,2,2,2,4,5,4,5,2,4,4,4,1,4,4,1,2,4,5,2,5,5,4,2,5,5,4,2,2,5,4,1,4,2,2,5,1,1,2,25,2,3,4,4,1,1,5,4,2,2,2,5,5,4,3,2,5,1,4,2,4,4,4,4,2,4,2,4,4,1,4,4,4,5,2,2,5,4,4,2,4,5,5,1,1,1,2,2,1,2,3,4,2,4,2,1,5,4,4,5,2,4,2,1,31,0,3,3,9,9,1,1,9,9,9,5,5,4,1,4,4,2,3,2.9,4.1,4.2,4.2,3.7,3.1,4.3,2.2,2.9,2.7,2.9,4.428571429,8.428571429
812,DCWD7c-4LzlD_4Jc4Q6jE-ZQrDfn3lx0y2UiS0riCcR2_5N1a5-dBrOi7lJ-RW9U,2,5,4,4,2,5,2,2,1,1,4,1,2,1,2,2,4,2,2,2,1,4,1,2,2,4,4,2,2,4,2,2,2,4,2,2,2,2,4,5,4,2,2,5,2,2,2,2,2,4,2,5,1,2,5,1,2,2,2,2,2,25,2,3,2,1,2,2,4,2,4,4,3,5,4,2,2,1,5,2,2,2,4,2,2,4,2,4,1,2,5,2,4,2,2,2,2,2,4,4,4,2,4,4,1,1,4,2,1,1,2,2,2,4,2,2,1,1,4,2,2,4,3,4,1,1,26,4,11,59,9,9,1,1,9,9,9,4,4,4,3,4,4,2,4.2,2.8,3.2,4,3.4,3.5,3.9,3.3,3.6,4,3.6,3.4,3.857142857,8.428571429
813,820feIUWmAragXuWFyD3BPpa3FK9VzOOaiEQL_AS0zIXcvggOH0hRG-o3z2pFenD,2,5,2,2,5,4,2,5,2,2,4,1,4,1,4,4,4,2,4,2,1,5,4,2,2,4,5,2,2,5,2,2,2,5,2,5,5,2,5,4,4,2,4,4,4,4,4,5,1,2,4,4,5,2,2,2,2,2,2,2,1,23,2,3,4,1,2,2,4,2,2,4,4,4,4,5,2,2,4,4,1,2,4,4,1,1,4,5,2,4,4,2,2,2,2,2,1,2,5,4,5,5,5,2,4,1,2,2,1,4,2,4,4,4,2,2,1,1,5,2,2,4,4,1,1,1,24,0,6,6,9,9,1,1,9,9,9,4,4,3,1,3,4,3,4.3,3.5,4,3.5,3.8,3.9,3.8,4,3,3.6,3.9,3.4,3.714285714,8.428571429
815,pZiviqHRcgVBFm_HlVreEG7cyB3TTgWuVePsx2OhmzDm87npA2DRBcdkIX63ZA3r,1,4,4,4,2,4,2,4,2,2,2,2,2,4,4,4,4,4,4,2,2,4,2,3,2,4,4,4,2,3,2,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,2,4,2,4,5,2,4,2,4,2,2,23,1,3,4,3,2,2,4,2,4,4,3,4,4,2,4,4,4,5,2,4,4,2,2,3,3,4,2,4,4,2,1,2,2,4,3,2,5,4,4,2,4,4,4,2,4,2,2,3,2,3,2,4,3,3,2,2,4,2,2,3,4,4,2,2,23,1,5,17,9,9,3,2,8,9,9,3,4,3,2,3,4,2,3.5,2.4,2.8,3.7,3.6,3.5,3.8,2.7,3.8,3.7,3,3.3,3.571428571,7.857142857
816,QtJgn2NCxO5ZK2XjtuMRYUA37oYEdjY2EjKbagjILJwfYYq5-8t8XXOA7gAKUxNj,1,2,2,4,4,4,2,2,2,2,4,1,2,5,3,4,4,5,2,2,2,4,4,3,2,2,4,2,1,4,1,4,4,4,3,3,2,4,2,5,4,2,3,5,4,4,1,4,2,2,2,4,3,5,2,3,2,2,2,2,1,26,1,3,5,3,3,1,4,3,3,3,3,4,2,3,2,5,3,4,2,3,4,4,3,5,2,3,5,2,3,3,2,3,3,1,1,3,2,4,5,3,3,2,4,3,4,5,1,2,3,2,3,5,2,1,3,1,3,5,3,3,4,4,2,2,24,7,6,90,9,9,1,1,9,9,9,4,5,4,1,2,5,3,3.1,4.3,3,3.4,3.1,2.8,3.8,3.6,3.8,3.6,2.3,3.3,4,8.428571429
819,4vvg2QGQjGG-_N3hEwFe5C_oGFqvdNJJQHvCbKNxh_w8tH4fXHPEoQciEsSqZxcp,2,4,2,5,3,4,4,2,2,2,4,1,5,1,4,4,5,2,3,4,1,4,4,3,2,5,2,2,1,5,5,1,4,3,4,2,5,4,4,4,4,2,3,5,2,4,3,4,1,1,4,4,1,4,2,3,2,4,4,1,1,25,2,3,4,5,1,1,5,3,4,1,4,5,3,5,4,5,5,3,5,1,4,3,5,1,3,3,1,4,3,1,3,1,3,3,1,1,5,5,4,2,1,4,2,1,4,3,1,3,4,1,3,4,1,2,1,1,5,1,3,5,2,3,2,1,22,0,0,0,9,9,4,1,7,9,9,3,3,3,3,3,4,2,2.2,2.6,3.9,4.4,3.7,4.5,3.5,4,4.2,3.2,3.5,4.3,3.285714286,7.714285714
822,6lY767Ch2p4Dgv8tsnscE7ZHvrq2UhOqmx-AYzFjf-IcwvCzikvhGXI6myEA1HoP,2,5,1,4,4,3,3,4,2,4,4,2,2,3,4,4,4,2,2,3,3,3,4,4,2,4,4,1,2,5,4,2,2,3,2,2,1,4,3,4,2,2,5,4,4,2,2,5,1,3,2,2,4,2,2,2,2,4,2,2,1,25,2,4,4,4,3,1,5,3,4,2,2,5,4,4,2,4,4,2,5,2,4,5,3,4,2,4,4,5,2,2,2,1,2,2,1,3,5,3,4,4,2,5,2,1,2,2,1,2,3,2,4,4,2,2,1,1,4,4,3,3,3,2,2,1,27,7,8,92,8,8,1,1,9,9,9,3,4,4,2,4,4,3,2.8,3.4,3.5,4.2,3.8,3.2,2.7,4.2,2.9,2.4,3.2,3.6,3.714285714,8.142857143
824,c1NGQzT5GmD-1P7OMT91B3_f5DsliHMIc_JKEes4cUaZHIVvAHeXvGEXtxjGFAZY,5,4,4,3,4,4,3,4,2,2,4,2,3,4,2,3,4,3,3,4,2,4,2,3,2,2,4,4,2,4,2,4,2,4,4,3,3,3,4,4,3,2,4,4,4,3,2,2,2,3,2,2,2,2,4,4,2,3,2,2,2,26,2,3,4,2,3,2,4,3,2,4,3,4,4,2,2,3,3,3,2,3,4,4,2,3,3,4,2,2,4,4,2,3,2,2,2,4,4,2,4,4,4,3,3,2,2,2,2,3,2,2,4,4,3,3,2,2,4,2,3,3,3,4,2,2,27,1,4,16,9,9,1,1,9,9,9,4,4,4,2,4,3,2,3.7,3.6,3.4,3.5,3.6,2.8,3.5,3.5,3.5,3.6,3,2.6,3.857142857,8.428571429
826,B7Uu4m5OQDkeAgwEEkTucVv89IjRAqaQc152XFpVDWzitDujH7IBQSyTtPsf8vgm,1,5,4,4,4,2,2,4,4,2,4,4,4,2,2,4,4,2,4,2,2,4,2,3,2,5,2,5,2,4,4,4,2,3,4,2,2,2,2,4,4,2,5,5,2,2,2,4,2,2,2,4,1,2,2,2,2,2,2,2,4,25,2,3,4,4,4,2,4,4,2,2,2,2,3,3,2,2,4,3,1,2,4,5,3,4,2,4,2,2,2,4,3,4,4,1,3,4,2,5,3,4,4,2,4,2,2,4,3,2,3,2,4,4,4,3,4,1,4,5,3,2,3,3,2,2,19,0,11,11,4,5,1,8,9,5,1,3,3,2,2,1,1,4,3,4.3,3.8,3.5,2.8,2.3,2.2,3.8,3.9,3.6,3.7,3.5,2.285714286,4.428571429
828,AlySjPIkdQ1JaRRYyH56uVMEKLtnq4oLi_DrF6iJrau7e1z4mEYAw6gn27GzAp6D,1,5,2,5,1,5,3,4,1,4,4,1,3,1,1,2,4,3,2,3,1,5,3,3,2,5,3,2,1,5,2,1,1,5,2,3,5,4,5,4,3,2,1,3,3,3,1,5,1,1,4,4,4,2,5,1,3,2,2,1,1,25,2,3,2,1,2,1,5,1,2,5,3,5,5,2,2,1,5,2,5,2,4,3,1,4,3,5,3,5,5,3,3,1,2,4,1,1,4,3,3,1,5,2,3,2,4,2,1,5,2,3,1,3,3,2,1,1,3,2,3,5,2,2,2,1,24,3,2,38,9,9,1,1,9,9,9,5,4,4,2,4,4,2,4.6,2.4,2.5,4.2,4,3.8,4.5,3.8,3.3,3.9,4,4.2,4.142857143,8.428571429
832,Hccqz5Q4a3VsFWe_LCheEQBJ0AIYZrHmaEAiWzdujsszVunsGgg8RaF4TFmYAriX,1,4,5,5,2,5,2,2,1,2,2,1,2,2,1,4,4,5,2,2,1,4,2,1,2,4,2,4,1,2,4,2,1,5,4,4,5,4,5,5,4,2,2,5,1,2,1,2,1,2,3,5,1,4,4,1,2,2,2,2,1,29,2,4,2,2,2,1,5,2,2,5,4,5,4,4,2,2,2,1,2,1,4,2,1,2,2,5,1,4,4,1,2,2,4,4,1,1,4,5,5,2,5,4,2,1,2,2,1,2,1,1,4,4,4,2,1,1,4,2,1,4,2,4,1,2,30,2,9,33,9,9,1,1,9,9,9,4,4,5,1,5,5,2,4.6,2.6,4.2,4.4,4.1,3.8,4.5,2.6,4.2,4.5,4,3.9,4.571428571,8.428571429
834,eGeORXmz4sNvl7U-HMtDn3q9esSz_s2C7XAvlfIiI-Kjy81APcCvaW2dVXDUL-EO,2,5,4,2,2,4,3,4,2,3,4,2,5,2,3,2,4,2,3,2,3,2,2,4,2,4,4,5,3,4,2,3,2,4,2,2,4,3,4,4,3,2,4,4,3,3,3,4,2,3,3,4,4,2,5,3,2,2,3,3,1,26,2,3,4,2,2,2,4,4,2,4,4,5,4,3,2,2,4,2,3,2,4,4,2,4,4,4,2,4,2,2,2,4,3,4,2,2,5,4,4,3,4,3,2,2,2,3,1,2,2,2,4,4,4,3,2,2,4,2,3,4,1,4,2,1,29,2,3,27,9,9,1,1,9,9,9,3,4,4,2,3,4,2,3.8,3.2,3.8,3.7,4.1,3.4,3.6,3.5,2.5,3.8,3.7,3.5,3.714285714,8.428571429
840,sZG2Z54Fw_SF8xTNzBZPGOHQHiJpzVK1t2VUsmyeJBiwIo8zqcWu5Qgt4z-pqvdK,2,3,2,2,4,4,5,4,2,3,4,4,2,3,4,4,4,2,2,4,3,2,3,2,2,3,3,1,3,4,3,3,3,3,2,4,2,4,4,2,3,2,3,4,3,2,4,4,2,3,2,4,4,2,5,4,3,4,2,1,4,26,1,3,4,2,3,3,2,3,4,3,3,4,2,3,2,3,3,4,4,2,4,4,2,2,2,4,2,2,4,3,4,3,2,3,4,3,2,3,4,3,4,2,3,3,4,3,3,3,2,2,4,4,3,3,2,2,4,4,3,3,3,3,2,2,24,0,1,1,9,9,2,1,7,9,9,3,3,3,3,3,2,2,3.3,3.5,3.4,3.2,2.9,3,3.1,3.8,2.5,2.5,3,3.4,3,8
841,uxn1f0NRcG_wwwLsxtNUJPLIs8iN01COjH_-gS84LYLDDJ-jiWyCkF-8OsqVybX0,2,5,3,4,4,4,3,5,2,2,5,4,4,5,2,3,4,2,4,3,4,4,4,4,2,4,3,3,2,5,4,2,3,4,5,2,3,3,4,4,4,3,5,3,4,2,2,5,5,2,2,5,3,2,5,2,3,3,4,2,3,24,2,3,4,4,1,3,4,3,2,3,3,4,5,4,2,5,4,3,4,3,4,5,5,4,3,4,3,4,4,4,5,5,3,3,4,3,4,3,4,4,4,4,4,2,3,4,5,2,5,3,4,5,2,4,2,3,4,3,4,4,4,4,2,1,25,0,8,8,9,9,1,1,9,9,9,3,3,3,3,3,3,3,2.2,3.8,3.5,3.5,2.9,3.1,2.5,4.2,3.9,3.4,3.1,3.5,3,8.428571429
845,omkj7_aFDEsw60W0dYV6WjeDb_qBV6_P2N3QIZGsv3h1Idcx6xGjBSQ4ILPBDG63,3,5,2,3,4,3,4,2,2,1,4,2,2,4,3,3,5,2,3,2,4,4,4,3,2,1,2,1,2,4,2,1,1,2,2,3,3,4,3,4,2,2,2,4,4,2,2,5,1,3,2,2,1,3,4,5,2,2,4,1,1,24,1,3,4,2,5,4,3,4,4,4,2,1,4,5,2,2,4,5,5,1,4,2,2,5,1,5,5,2,4,5,5,4,2,4,2,3,1,5,4,2,5,2,3,2,4,1,2,1,4,2,4,5,5,2,5,2,5,2,3,5,4,4,1,2,24,2,11,35,9,9,1,1,7,9,9,3,3,4,2,3,4,2,4.1,2.8,3.7,4,1.5,2.4,3.7,4.1,3.6,2.6,3.3,3,3.571428571,8.142857143
848,KhE8j-xBDtGjrr_nnUlTVDHOW0H5kkiRkyiQD4w9rkP91CbE36KMy6eB3MfihJ7M,3,5,4,4,4,4,4,5,4,2,4,5,4,2,2,4,4,2,1,2,1,5,4,4,2,5,4,2,2,5,2,4,1,4,2,4,5,4,4,5,4,1,4,5,4,4,2,5,4,5,4,5,1,5,5,3,4,4,2,2,1,24,1,3,5,2,2,4,4,4,2,4,4,4,4,4,2,5,4,5,4,4,4,5,5,4,4,4,2,4,4,2,2,2,5,4,1,2,4,4,5,5,4,4,1,4,2,4,2,4,2,2,4,5,4,2,2,1,5,5,4,4,4,4,2,2,25,0,11,11,9,9,1,1,9,9,9,5,5,5,2,3,5,2,3.3,4.1,4.1,3.9,3,3.8,3.2,3.8,3.8,3.7,3.7,3.6,4.428571429,8.428571429
850,tSHmCAaE-jJycxYfNRhZT4CF3S2nr1Us24NZ9RLYhWGomAnneu5H5vv8T1S0NLzW,2,3,2,2,4,4,3,3,3,2,4,4,2,2,3,2,5,2,3,3,2,2,3,2,2,4,3,2,2,4,2,2,3,3,2,2,3,4,3,3,2,2,4,4,3,2,3,4,2,2,2,3,2,2,4,2,3,3,2,2,3,24,2,3,4,2,3,2,4,2,3,3,3,4,4,3,3,3,4,2,3,2,4,3,2,3,2,4,1,3,4,2,2,2,2,2,3,3,4,3,4,4,4,2,3,2,2,2,3,2,4,2,3,4,3,3,2,2,4,3,2,4,2,3,2,1,22,1,9,21,9,6,1,1,6,9,9,3,3,3,3,3,3,3,3.5,3.3,3.5,3.7,3.5,3.1,3.2,4,2.7,2.8,3,3.6,3,7.571428571
851,5TX_jCSGYEl4NlbPA7UVjLjyHr2JCwLr1AXpTF0P2tmaD6V39ImtJzTe_y1EOncd,2,4,5,4,1,4,5,2,2,4,2,1,2,4,2,4,4,4,2,2,3,5,4,4,2,4,4,1,2,2,4,4,4,5,3,5,4,4,4,4,4,4,4,5,4,4,2,4,4,2,2,5,4,4,4,2,4,2,2,2,1,31,1,3,4,2,4,2,4,2,4,4,2,4,4,2,4,2,2,2,4,4,4,4,2,2,2,5,2,4,4,2,2,4,2,1,1,2,4,4,5,4,5,2,2,2,4,4,1,2,2,4,2,4,4,4,4,2,4,4,3,3,4,4,3,2,31,0,3,3,9,9,1,1,9,9,9,3,4,4,2,4,4,2,4.2,3.5,2.8,3.7,3.2,2.7,3.4,2.6,3.4,3.9,2.6,3.8,3.857142857,8.428571429
