,X,gender,age,E_level,sex_or,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,check_disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,rela_status,length,cphex01,cphex02,cphex03,cphex04,cphex05,cphex06,cphex07,cphex08,cphex09,cphex10,cphex11,cphex12,cphex13,cphex14,cphex15,cphex16,cphex17,cphex18,cphex19,cphex20,cphex21,check_4,cphex22,cphex23,cphex24,cphex25,cphex26,cphex27,cphex28,cphex29,cphex30,cphex31,cphex32,cphex33,cphex34,cphex35,cphex36,cphex37,cphex38,cphex39,cphex40,cphex41,cphex42,cphex43,cphex44,cphex45,cphex46,cphex47,cphex48,cphex49,cphex50,cphex51,cphex52,cphex53,cphex54,cphex55,cphex56,cphex57,cphex58,cphex59,cphex60,cpHH,cpEM,cpEX,cpAG,cpCO,cpOP,HH,EM,EX,AG,CO,OP
30,55,1,25,2,1,2,3,1,4,3,3,4,3,4,5,4,4,5,1,4,2,3,4,2,3,2,2,3,3,3,5,4,2,3,3,1,2,3,2,3,3,4,5,4,4,2,4,3,3,2,4,4,4,2,1,2,4,2,3,5,2,3,4,1,4,1,1,68,3,5,4,2,4,2,4,4,1,2,4,3,5,1,3,3,5,4,3,2,2,4,4,4,3,5,2,4,2,4,1,4,2,3,4,2,2,4,4,4,2,1,3,3,2,4,4,5,2,4,4,5,4,3,4,4,4,4,2,2,1,"3,5","4,2","2,9","3,8",4,"3,3","3,8",3,"2,5","2,7","3,2","4,3"
31,57,2,22,3,1,2,4,2,4,2,1,3,3,4,2,4,5,4,2,2,2,2,2,2,3,2,5,4,3,3,4,2,2,2,2,4,4,5,4,4,4,3,2,3,4,4,4,4,4,2,1,3,4,4,4,2,4,2,2,4,1,2,4,3,2,3,1,2,4,3,2,4,5,2,5,3,1,1,5,5,2,4,2,5,3,2,4,2,2,4,4,2,4,4,2,4,2,1,1,4,4,4,5,2,2,3,3,4,5,4,5,2,4,4,2,3,4,2,2,2,3,4,2,2,4,5,4,4,3,"2,2","2,9","4,3","3,4","2,7",3,"2,3","2,9","3,6","2,6","3,2","3,4"
32,58,2,21,2,1,3,4,4,5,2,2,4,5,4,1,4,3,1,2,5,4,4,2,5,3,2,4,5,2,4,1,3,5,2,1,1,5,2,3,4,2,3,1,4,2,5,4,5,3,1,2,2,5,4,5,4,4,1,2,2,4,1,5,5,4,3,1,9,5,1,5,4,2,1,1,2,1,4,5,4,3,4,5,2,2,4,5,4,1,4,5,1,2,5,2,5,2,1,1,5,4,4,1,2,2,5,2,5,3,4,5,1,5,4,4,1,2,1,3,5,3,4,5,5,5,1,1,4,5,"2,9","2,2","2,7","4,4",2,"2,4","2,5",3,"4,6","2,6","4,1","1,8"
33,59,2,8,4,1,2,5,4,5,2,2,3,5,2,3,4,5,5,2,2,5,5,4,4,4,2,2,4,4,2,4,1,2,2,3,2,4,2,2,3,2,5,4,4,4,3,4,4,4,2,3,3,3,2,2,4,4,3,2,5,2,3,2,2,3,1,1,13,5,2,3,4,2,2,5,4,1,4,2,4,1,4,1,4,4,2,4,4,2,4,4,1,2,4,2,3,2,2,2,5,4,2,2,3,5,2,2,4,4,3,4,4,2,4,3,3,4,4,1,3,2,2,3,1,5,5,2,4,2,3,"2,6","3,3","3,4","2,4","2,7","3,6","3,4","3,5","3,5",4,"3,6"
34,63,1,13,3,1,3,4,4,4,1,4,3,4,3,2,3,4,4,2,2,4,3,4,4,2,2,3,4,3,1,3,2,4,2,1,2,2,2,3,4,4,4,4,4,3,3,4,3,3,2,4,4,2,2,3,4,2,1,4,4,2,3,4,2,4,2,1,20,2,4,4,4,4,4,4,4,2,2,4,2,4,2,3,4,4,4,3,4,2,4,4,4,2,4,2,4,2,2,2,2,2,3,3,3,4,3,4,4,3,3,2,2,2,4,4,2,2,3,4,4,2,2,4,2,2,2,2,2,2,4,"3,4","3,4","3,8","3,8","3,5","3,8","2,1","3,6","3,2","3,9","3,3"
35,64,2,16,2,1,1,3,2,4,3,4,4,4,2,2,2,2,5,2,3,4,3,4,2,2,2,2,4,3,1,4,3,3,2,3,1,2,2,3,3,3,4,4,3,2,4,2,1,5,2,3,2,4,1,2,4,2,2,2,4,2,3,3,3,2,2,1,24,5,3,2,4,2,5,5,4,2,2,2,1,3,2,4,3,4,4,1,2,2,4,4,3,2,4,3,2,2,2,2,1,2,4,3,3,4,3,4,2,4,3,1,5,2,3,2,4,2,2,4,2,2,3,4,2,3,4,4,2,1,"4,4",3,"3,8","2,7","3,7","3,9","4,4","3,3","3,8","2,9","3,6","4,3"
36,77,2,8,3,1,2,4,3,4,4,3,4,4,2,2,4,1,4,2,4,4,4,2,2,2,2,2,4,4,2,2,2,4,3,4,3,4,4,2,2,2,1,3,4,2,3,2,2,4,2,3,4,4,3,4,3,2,4,2,3,1,3,4,2,3,1,1,57,4,4,5,4,2,4,4,2,1,2,2,1,4,2,3,4,3,1,2,2,2,4,4,2,1,2,3,5,3,2,2,4,3,2,3,4,5,3,4,2,3,4,2,3,2,4,3,3,1,4,2,4,1,4,4,3,2,3,4,4,1,"4,2","2,2","3,7","3,7","3,4","2,9","3,3","3,9",3,"2,8","3,6","3,4"
37,88,1,13,2,1,4,4,3,4,2,3,4,4,3,1,2,1,4,2,3,5,4,2,2,2,2,4,5,3,2,4,4,4,1,4,1,3,1,3,4,4,4,4,2,3,3,3,3,4,4,2,1,2,4,2,4,3,1,2,2,1,2,3,4,1,1,1,78,5,4,3,4,2,4,2,4,4,4,2,1,3,2,4,4,4,4,3,1,1,4,4,3,2,2,1,3,2,4,2,4,1,3,2,4,5,2,5,2,3,3,1,2,1,4,2,4,2,4,5,2,2,3,2,5,1,2,1,2,1,"4,2","3,1","3,2",3,"4,7",2,"3,5","3,1","4,5","2,9","3,5","3,8"
38,94,2,13,3,1,1,2,4,4,2,5,4,4,2,2,3,1,2,3,2,5,4,2,2,4,2,1,5,4,1,5,4,4,2,2,2,2,2,4,2,4,4,4,4,2,4,2,3,5,3,4,3,2,1,2,2,4,1,4,4,1,5,2,1,2,1,1,8,1,4,4,4,2,5,5,4,2,2,3,1,4,2,2,4,4,2,1,2,2,4,4,2,1,5,1,4,2,3,1,1,1,4,4,2,4,3,4,2,4,4,2,4,1,4,3,4,1,3,3,4,1,4,4,1,2,2,2,3,1,"4,4","2,9","3,8","3,8","4,2","4,4","4,2","2,9","3,7","3,9","2,7","4,2"
39,98,2,6,2,1,2,3,2,5,4,5,4,4,2,2,5,3,5,1,4,3,5,3,1,2,2,5,4,5,2,5,5,4,4,5,1,5,2,3,3,1,4,4,4,2,4,1,4,3,1,1,3,5,4,2,4,3,2,1,1,1,2,4,2,1,4,1,29,5,1,2,4,2,4,3,4,2,3,1,4,5,1,5,3,2,1,3,4,1,4,3,2,4,2,4,2,2,2,1,5,4,3,3,5,2,4,5,2,4,4,5,2,2,5,3,4,2,1,4,2,4,5,5,3,5,2,3,4,5,"2,7","1,9","3,2",3,3,"2,9","3,1","4,9","3,4","2,4","3,8",4
40,99,2,8,3,1,4,3,3,4,1,3,3,4,1,4,2,1,2,3,4,5,3,3,3,4,2,1,5,4,3,1,1,3,1,3,2,4,4,4,5,3,3,4,3,3,3,4,3,3,2,3,2,4,2,4,4,3,2,3,1,3,4,2,3,3,3,1,24,3,3,3,4,2,2,4,2,1,3,1,1,3,2,2,3,3,4,4,3,2,4,4,2,2,2,4,3,1,2,1,3,4,4,2,4,3,3,3,3,2,4,2,3,2,4,3,3,1,4,2,3,3,4,2,3,4,3,2,3,1,"3,9","2,2","3,1","3,6","2,7","2,8","3,2","2,8",4,"3,5","3,2","2,5"
41,102,2,7,1,1,1,4,3,4,4,4,3,4,3,3,4,3,5,1,2,2,4,4,3,2,2,2,4,3,2,3,2,3,2,4,2,2,2,3,3,2,3,5,5,4,3,3,3,4,2,3,3,4,3,1,4,3,1,2,4,1,3,2,2,3,2,1,42,2,4,4,4,2,4,5,5,2,2,2,3,4,2,2,3,2,4,2,1,1,4,4,2,2,4,1,3,2,3,2,2,1,4,3,3,3,4,5,4,3,5,3,4,1,4,3,3,3,1,4,4,2,4,4,1,2,2,3,4,3,"3,5","2,2","3,5",4,"4,6","4,3","3,6","3,7","3,3","3,4","4,1","4,2"
42,104,2,7,2,1,2,4,2,4,2,5,5,4,1,1,4,4,4,2,2,2,4,2,2,1,2,2,4,4,1,1,1,2,1,2,5,1,2,2,3,2,5,4,4,1,4,2,1,5,1,4,2,5,4,2,1,2,1,5,4,1,2,3,2,1,1,1,2,4,1,2,4,2,4,4,5,1,1,1,5,1,1,2,5,4,2,2,2,3,4,4,3,1,1,2,3,1,2,2,3,4,3,4,2,4,3,4,2,5,2,2,5,2,4,1,3,3,2,3,3,1,5,3,3,4,4,4,1,1,"3,5","2,9","4,6","3,1","3,4",3,"3,6","3,5","3,8","2,9",4,"4,1"
43,109,2,15,3,3,1,1,4,2,2,2,4,2,4,4,5,4,4,1,5,1,2,2,2,3,2,2,3,4,3,5,2,3,2,2,2,2,4,3,2,2,2,4,3,3,2,3,3,5,4,4,3,2,4,2,4,3,3,3,3,1,4,4,2,3,5,1,17,2,2,2,2,1,4,5,4,4,2,2,4,4,1,4,2,4,3,2,3,4,4,2,4,3,5,5,2,2,2,1,1,4,1,2,2,3,4,4,2,2,4,3,5,2,2,4,3,2,2,4,2,4,4,4,1,4,5,2,2,3,"3,4","2,8","2,4","1,8","3,1","4,5","2,4",3,"2,4","2,9","2,8","4,4"
44,111,2,12,2,3,1,5,3,4,2,3,4,5,4,1,4,2,4,2,4,3,3,3,2,1,2,2,4,3,4,5,2,2,2,3,1,2,1,4,4,1,4,4,3,3,4,5,2,4,3,3,2,4,4,4,4,2,4,4,4,2,2,3,5,3,2,1,5,2,3,4,4,2,4,4,3,2,2,2,4,3,4,3,5,4,2,2,4,1,4,5,4,1,5,4,4,2,2,2,3,3,4,4,4,4,3,3,4,5,2,3,4,2,4,1,5,1,2,3,3,2,4,4,2,4,1,4,1,3,"3,6","3,2","4,4",4,"2,7","3,8","3,5",3,"3,9","2,8","4,2",4
45,114,2,8,2,1,1,4,2,3,2,2,5,4,2,2,4,2,5,2,4,5,5,4,1,2,2,4,4,4,1,5,4,2,2,2,2,3,2,2,3,2,4,3,4,2,4,2,3,4,2,2,3,5,3,2,2,2,2,2,4,1,4,4,4,2,1,1,33,2,1,2,2,1,2,5,4,4,2,4,2,5,2,2,5,4,4,2,4,2,4,3,3,1,5,4,2,2,3,2,3,2,2,2,2,4,3,4,5,4,3,2,4,4,4,3,5,2,2,2,2,4,4,4,2,4,2,3,2,2,"3,9","3,3","3,2","3,1","2,7","4,1","3,8","3,8","3,8","2,2","3,4","4,4"
46,119,2,8,3,1,1,4,4,3,2,5,3,4,4,3,5,1,5,1,1,4,4,4,3,2,2,1,3,3,1,4,2,3,3,3,2,2,1,4,2,1,5,4,5,4,3,2,4,4,1,4,4,4,1,2,5,4,2,4,5,2,3,4,2,1,1,1,29,4,5,2,4,1,5,2,5,4,2,2,2,5,1,4,4,4,3,3,4,4,4,4,2,2,2,1,3,2,1,1,4,1,2,2,3,5,4,5,3,2,3,5,5,2,3,3,4,1,2,5,2,2,5,5,4,4,2,4,4,1,"4,2","2,3","3,5","2,5","4,3","3,1","4,5","3,7","2,9","3,7","4,4",4
47,128,2,15,1,1,5,5,2,4,5,2,1,4,5,1,5,5,4,4,5,2,4,1,5,1,2,5,1,5,5,1,1,1,2,5,4,2,5,1,5,1,2,4,2,1,5,1,5,2,1,1,5,5,5,1,5,1,5,1,1,5,1,5,5,1,5,1,120,1,1,1,3,1,1,5,1,5,1,1,5,5,1,5,2,1,1,3,5,5,4,5,1,5,4,5,1,1,1,4,1,4,1,5,4,1,2,1,1,4,5,5,2,5,5,4,1,4,1,1,1,4,1,2,1,5,5,5,5,5,"1,3","1,5","3,8","1,4","1,5","4,1","1,3","4,9","3,3","1,1","3,9","2,4"
48,130,2,5,3,1,4,5,4,3,3,2,2,4,2,2,5,2,3,1,5,2,4,2,3,1,2,2,3,4,2,2,1,4,3,4,2,4,2,3,4,1,4,2,4,1,2,2,3,2,1,3,3,5,3,5,5,4,4,2,4,2,1,4,3,2,2,1,5,2,1,4,5,2,2,2,4,4,1,2,4,5,3,4,2,2,2,3,4,4,4,3,1,4,1,4,3,2,2,2,4,4,4,3,3,2,4,2,2,2,4,4,2,3,2,4,2,4,1,2,1,4,3,4,2,5,4,2,2,4,"2,4","2,3",3,"2,4","2,2","3,2","3,4","4,2","2,9",3,"4,7","2,3"
49,137,1,6,2,3,2,3,2,4,1,1,4,4,3,3,2,5,5,2,4,3,2,4,3,4,2,4,4,2,2,5,3,2,3,3,5,5,5,4,3,3,4,3,2,3,2,4,2,3,5,3,4,5,3,2,1,3,3,3,4,3,4,3,3,3,5,1,20,1,4,1,3,4,2,2,4,4,3,4,2,5,2,4,4,4,2,3,2,4,4,4,2,3,2,1,2,2,2,2,2,2,3,3,2,4,5,4,4,4,3,4,4,2,3,3,4,3,1,4,3,3,3,3,4,3,4,2,4,4,"2,9","3,2","3,3","2,4",4,"3,7","2,7","2,6",3,"2,7","2,3","3,5"
50,138,2,6,3,1,3,5,4,5,1,5,4,4,2,2,5,1,3,3,1,4,3,4,2,3,2,4,5,2,4,5,2,5,1,2,1,1,1,3,4,2,5,2,5,4,3,2,1,3,2,3,3,4,1,4,5,3,1,4,5,4,2,3,2,2,1,1,42,4,3,4,5,1,2,5,4,4,1,2,2,3,4,2,3,2,3,2,4,5,4,5,2,3,4,3,4,1,3,2,1,3,3,5,1,4,2,4,1,5,5,3,3,4,2,2,5,1,5,3,4,1,4,4,5,4,5,5,3,1,"3,7","2,6","4,7","2,6","2,8",3,"4,6","3,1",4,"3,6","4,2","3,3"
51,144,2,6,3,1,1,5,2,5,4,2,4,4,2,5,5,1,5,1,1,5,4,4,2,1,2,1,4,4,1,2,1,2,1,4,2,4,2,4,2,2,4,2,4,4,4,2,4,4,1,4,3,3,2,1,2,4,1,2,2,1,4,4,2,1,1,1,32,4,1,4,3,5,4,2,5,2,2,4,1,4,1,1,5,5,2,3,4,1,4,4,4,2,2,4,3,2,2,2,4,1,3,4,1,5,1,5,1,2,2,2,2,3,3,4,5,2,5,5,3,4,2,3,2,2,5,4,1,1,4,"4,3","3,4","3,2","3,7","2,3","3,7","4,1","3,6","3,6","4,1","3,8"
52,145,2,9,3,1,4,4,3,4,2,4,4,4,1,1,4,2,1,1,4,5,4,2,2,2,2,4,4,4,1,1,1,2,1,4,2,3,1,4,5,1,5,4,4,1,3,4,4,4,1,2,1,4,1,5,3,2,1,3,5,1,2,4,5,1,1,1,66,4,3,5,2,4,5,2,4,1,4,4,1,4,1,1,5,5,5,1,1,1,4,3,2,1,1,1,3,3,4,1,2,1,1,2,4,5,5,5,3,3,2,4,4,2,5,3,3,1,2,5,5,4,5,4,5,2,2,2,2,1,"4,6","3,3","2,7","4,1","4,5","3,2","4,1","3,7","4,6","2,5","4,3","2,9"
53,151,2,6,2,1,5,4,3,5,3,5,4,3,1,3,3,1,4,1,2,3,3,2,4,1,2,1,4,3,3,5,1,3,2,3,1,1,2,3,2,3,4,5,5,2,3,3,2,3,1,4,2,3,2,2,4,3,1,3,4,2,2,2,2,2,1,1,10,4,3,4,1,3,5,5,5,1,3,5,1,2,1,4,2,3,5,4,2,1,4,2,2,1,4,1,3,5,2,1,2,1,3,1,1,3,1,1,1,3,3,2,2,1,5,2,3,1,3,5,4,1,3,5,4,2,2,2,3,1,"4,7","3,2","2,4","3,6","4,2","2,7","4,1","3,1","3,5","3,6","4,4","3,7"
54,153,1,10,3,1,2,4,4,5,2,3,3,4,1,2,3,2,3,2,4,5,4,4,2,2,2,2,5,3,3,4,2,4,2,2,2,3,2,3,4,4,4,4,4,4,4,4,2,4,2,3,2,4,2,2,2,2,1,4,2,2,2,4,3,3,2,1,34,2,3,3,4,2,2,4,4,2,2,4,2,4,2,4,5,4,4,2,4,4,4,4,4,3,4,3,4,2,3,2,3,2,3,3,2,4,4,4,3,3,2,4,3,3,3,3,5,1,2,3,3,4,2,4,2,4,4,3,2,2,"3,6","3,8","3,5","2,9","3,2","3,8","3,6","2,7","4,3","3,3","3,8","3,7"
55,159,2,22,2,1,2,5,4,4,3,4,4,5,2,4,4,1,5,1,5,5,5,4,2,1,2,3,4,4,4,1,4,2,3,2,1,5,1,4,2,2,5,5,5,3,2,2,2,5,1,3,3,4,2,1,5,3,3,4,5,1,2,3,3,1,1,1,56,1,3,5,4,3,5,5,3,3,1,4,1,5,1,4,5,3,4,1,3,3,4,3,3,1,5,4,4,2,3,1,5,2,4,3,2,5,3,4,4,3,4,3,5,3,2,3,3,2,1,5,2,3,3,5,1,4,2,3,2,1,"4,6","3,2","3,6","3,3","3,4","4,4","4,3","3,7","3,1",3,"4,6","3,9"
56,165,2,9,4,3,2,3,2,5,2,3,3,4,1,1,2,2,5,1,1,3,3,3,3,2,2,1,5,2,3,5,2,2,1,1,3,1,1,1,4,1,2,5,5,4,4,5,1,3,1,1,2,4,4,3,4,3,1,3,4,4,3,2,4,3,2,1,12,4,5,4,5,4,4,3,5,1,2,4,2,2,2,2,4,4,4,3,2,2,4,5,4,3,4,2,4,1,2,2,1,1,3,4,3,4,2,5,3,4,3,1,3,2,5,4,4,3,5,4,4,2,2,4,4,1,2,3,2,2,"3,9","3,6",4,4,"4,5","2,7","3,3","2,6","4,4","3,2","4,2","3,8"
57,173,2,6,3,1,2,1,2,4,1,5,2,5,4,1,5,1,5,1,4,4,5,2,3,1,2,2,4,4,1,4,1,2,2,2,2,3,1,3,2,1,5,4,5,2,4,2,4,4,2,3,2,4,2,4,4,3,4,2,5,1,2,2,3,2,1,1,26,5,1,4,4,2,5,2,4,2,2,1,1,1,4,2,5,4,2,3,5,1,4,5,1,1,1,4,2,2,2,1,3,4,4,2,4,5,3,2,2,4,4,4,4,4,5,4,5,1,5,2,5,2,4,5,5,5,2,2,2,1,"4,4","2,5","3,6","3,9","1,9",2,"4,2","3,8","3,6","2,7","4,3","3,6"
58,174,2,7,3,1,1,5,2,2,3,4,4,4,2,2,5,2,5,2,3,3,5,2,2,2,2,2,2,4,3,5,2,3,4,4,2,2,3,3,2,1,2,4,3,4,4,1,2,4,2,3,4,5,1,1,4,4,4,1,4,2,3,3,2,1,2,1,30,2,2,4,5,2,3,4,5,2,2,4,2,2,1,3,5,4,2,2,3,2,4,5,4,4,2,3,4,2,2,2,4,1,4,4,4,4,4,3,2,4,2,4,4,1,5,2,3,2,4,3,4,2,4,4,2,4,4,4,3,2,"3,3",3,"4,3","3,6","3,6","3,2","3,6","4,6","2,5","3,3","3,8","4,4"
59,178,2,7,2,1,1,2,3,3,2,2,5,4,1,4,5,1,4,2,1,5,4,3,1,2,2,1,5,5,1,5,2,3,2,2,3,3,2,1,2,1,5,4,4,1,3,2,3,5,1,5,2,5,2,2,5,5,4,2,3,1,3,3,2,1,2,1,24,4,5,3,5,2,3,4,4,2,2,1,2,4,3,3,4,4,4,3,1,2,4,4,4,1,1,2,4,1,2,2,3,3,3,4,3,3,3,4,2,3,3,4,4,2,5,4,3,4,1,3,4,1,5,3,4,2,1,3,2,4,"3,2","2,7","3,9","3,7","3,9","3,1","3,7","4,1","3,2","3,6","3,9","4,5"
60,179,2,7,2,1,2,5,2,4,1,2,4,5,2,4,4,3,3,1,1,2,2,3,3,2,2,1,4,3,2,4,1,2,2,2,2,2,2,4,3,2,1,2,5,4,4,4,2,4,1,4,4,2,2,5,4,4,2,3,2,2,2,4,4,2,4,1,36,2,2,2,4,3,2,4,4,4,2,4,4,4,4,2,4,5,2,3,4,3,4,4,2,2,4,4,3,2,4,2,2,2,2,4,2,2,2,2,2,4,2,4,4,4,4,2,3,2,2,1,4,2,3,2,1,5,4,4,3,4,"2,6","3,5",4,"2,8","2,2","3,8","2,9","2,7","3,3","3,6","4,6","3,3"
61,181,2,10,3,1,4,4,4,2,4,4,3,3,2,4,5,2,5,2,4,2,2,3,1,1,2,1,2,3,2,3,2,3,3,2,2,3,3,4,2,1,4,2,3,4,2,4,2,4,1,5,4,3,2,4,4,5,4,4,4,1,2,3,1,2,2,1,0,3,4,4,4,3,4,4,3,2,2,3,1,3,2,2,4,4,4,2,2,1,4,4,2,2,4,2,4,2,2,2,2,5,4,2,3,5,2,4,4,2,4,1,3,1,1,4,3,1,4,3,4,2,4,4,2,2,3,2,3,1,"4,5","2,7","3,2","3,7","3,6","3,3","3,9","3,2",2,"3,9","3,9","3,4"
