,X,gender,age,E_level,sex_or,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,check_disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,rela_status,length,cphex01,cphex02,cphex03,cphex04,cphex05,cphex06,cphex07,cphex08,cphex09,cphex10,cphex11,cphex12,cphex13,cphex14,cphex15,cphex16,cphex17,cphex18,cphex19,cphex20,cphex21,check_4,cphex22,cphex23,cphex24,cphex25,cphex26,cphex27,cphex28,cphex29,cphex30,cphex31,cphex32,cphex33,cphex34,cphex35,cphex36,cphex37,cphex38,cphex39,cphex40,cphex41,cphex42,cphex43,cphex44,cphex45,cphex46,cphex47,cphex48,cphex49,cphex50,cphex51,cphex52,cphex53,cphex54,cphex55,cphex56,cphex57,cphex58,cphex59,cphex60,cpHH,cpEM,cpEX,cpAG,cpCO,cpOP,HH,EM,EX,AG,CO,OP
62,182,2,7,2,1,2,2,3,4,1,5,4,5,1,3,4,1,3,2,4,4,4,5,3,3,2,1,5,4,3,4,3,3,2,3,2,4,2,2,1,3,2,4,3,5,4,2,3,3,1,2,4,5,1,4,2,3,2,2,4,2,2,3,2,2,3,1,42,5,1,4,5,3,5,4,5,1,3,1,3,1,2,2,2,3,3,3,1,1,4,5,2,2,4,2,3,2,3,1,1,3,4,2,5,5,2,5,5,2,3,4,4,1,5,3,1,1,5,2,3,2,5,3,1,1,3,2,4,4,"3,7",2,"3,2","4,1","3,9",3,"3,9","3,6","3,3","3,3","3,5","3,3"
63,184,2,7,2,1,2,4,2,5,2,3,5,2,1,2,5,3,5,4,1,4,5,3,1,4,2,1,5,2,2,4,2,3,2,4,3,1,1,3,3,3,4,2,2,4,4,2,1,4,1,4,2,5,4,1,2,5,1,2,4,1,4,4,2,2,2,1,21,3,2,4,5,2,2,5,5,2,1,1,5,4,2,4,5,5,4,1,2,2,4,4,2,4,2,4,3,1,2,4,1,1,3,5,3,2,5,4,2,5,4,2,5,2,3,1,5,2,3,2,2,2,5,2,1,5,3,5,2,3,"2,6","2,7","4,8",3,"3,3","4,2","3,5","3,8",4,"3,8",3,"4,4"
64,186,2,7,3,1,1,4,4,4,3,2,3,4,1,3,4,3,2,2,4,4,2,3,3,3,2,2,4,2,3,4,4,4,2,4,4,3,2,2,2,2,3,4,4,5,4,5,2,4,2,4,4,3,2,3,4,4,1,3,3,2,2,2,3,2,2,1,21,5,5,2,5,2,2,4,4,2,3,1,2,1,2,5,2,4,2,3,2,2,4,5,2,4,1,3,2,2,2,3,4,2,4,2,5,4,2,5,2,2,4,4,2,1,2,4,4,3,5,4,3,1,3,2,5,1,4,4,3,2,"2,8","2,4","3,4","2,6","4,3","1,8","3,1",3,"3,5","3,8","3,7","3,5"
65,187,2,37,3,1,1,2,2,4,1,5,3,4,1,2,4,1,5,2,3,2,2,5,2,5,2,2,4,4,1,5,5,4,2,4,2,2,4,4,4,2,5,5,4,4,2,5,1,5,3,4,3,2,1,1,4,4,3,4,5,2,4,2,4,1,1,1,296,4,5,2,2,2,5,4,5,5,1,4,2,1,1,4,4,4,2,3,2,4,4,2,1,3,2,2,2,2,1,1,5,2,2,3,2,5,3,4,1,3,2,4,4,2,2,3,5,3,5,4,1,4,5,1,5,3,5,5,5,1,"3,5","2,7","3,3","1,6","4,2","2,2","4,9","2,9","3,4","3,8","2,7","4,5"
66,192,2,5,2,1,1,4,2,4,2,2,4,4,2,1,4,2,5,2,5,4,4,2,3,4,2,1,4,4,2,4,4,2,2,4,4,2,2,4,4,4,4,4,3,2,4,1,5,2,3,4,2,5,2,1,3,2,2,2,3,2,2,4,4,1,3,1,4,1,5,2,4,3,4,5,4,2,1,3,2,4,2,2,5,4,2,3,1,1,4,4,3,2,5,1,2,1,3,2,1,2,4,3,3,4,3,4,2,3,2,5,2,1,5,1,4,3,2,3,4,2,3,4,1,2,3,4,1,2,"3,4","3,5","4,2","3,5","4,3","4,1","2,9","3,9","4,1","2,8","3,3",4
67,193,2,6,3,1,4,4,5,4,2,2,2,4,1,3,5,1,5,2,2,4,4,4,2,1,2,2,4,3,2,1,2,2,1,2,3,4,2,2,4,1,5,4,5,4,4,2,2,4,2,5,3,4,1,1,2,4,2,1,4,2,2,2,4,1,1,1,29,5,4,2,4,2,2,2,5,1,2,2,1,5,2,2,5,4,4,2,4,4,4,4,2,1,4,2,2,2,2,4,4,2,2,4,4,5,4,4,2,4,4,4,3,2,4,2,4,2,1,4,3,2,4,4,4,3,2,4,2,1,"3,8","2,6","4,1",3,"3,8","3,2","4,1","3,9","3,9","3,9",4,"3,3"
68,196,2,8,2,1,2,2,3,4,1,4,5,4,2,1,3,3,4,2,2,5,5,5,2,4,2,3,4,2,1,5,4,3,2,2,1,2,2,4,3,2,4,4,4,2,3,1,1,5,2,3,2,4,1,2,4,3,1,4,5,1,5,2,2,1,3,1,24,2,2,4,4,1,4,5,4,2,2,2,2,4,4,3,4,4,5,2,4,2,4,4,2,1,5,4,3,2,2,1,1,3,4,3,4,4,3,2,2,4,4,1,5,4,4,3,4,1,3,2,4,1,3,3,1,4,2,2,2,3,"4,3","2,6","3,7","3,6","2,3","4,3","4,4","3,3","3,9","3,3","3,1","4,4"
69,202,1,27,2,1,1,2,2,4,2,2,3,1,5,2,2,2,5,1,2,4,1,4,4,1,2,2,4,1,3,3,4,3,2,2,2,2,3,3,2,5,4,4,5,4,3,5,2,3,1,5,5,1,3,4,1,2,1,4,2,2,3,3,4,5,2,1,93,1,4,5,4,2,1,4,2,1,2,4,2,4,1,1,5,4,5,4,2,1,4,4,1,3,3,2,4,1,3,2,3,2,4,3,3,5,3,4,3,3,4,3,4,1,5,4,2,2,4,3,3,1,3,5,3,2,2,3,5,1,"3,9","2,5","3,8","4,3","3,9","3,3","3,4","1,4","3,5","3,1","3,2","3,5"
70,204,2,18,2,1,2,3,4,4,2,1,4,5,2,3,4,1,4,4,5,3,2,2,4,1,2,1,4,4,1,2,2,4,2,2,1,1,1,3,1,3,5,3,1,2,3,4,1,3,1,5,2,2,2,2,4,3,1,5,5,3,1,2,2,1,1,1,15,3,2,4,4,1,2,4,5,4,2,2,3,1,2,4,5,1,3,4,4,4,4,3,1,2,1,2,4,2,1,2,2,1,3,5,4,4,2,5,4,5,4,3,2,5,2,1,2,2,4,2,1,2,5,4,2,4,5,4,4,2,"3,5","1,5","4,3","2,5","3,2","2,5","4,2","2,7","3,3","3,5","3,9","3,4"
71,206,1,10,2,1,2,4,4,5,1,2,3,4,1,2,4,2,5,2,1,4,4,3,2,3,2,1,5,3,1,4,2,3,1,1,2,3,2,4,4,2,2,5,4,4,4,4,4,4,2,5,2,4,3,1,3,5,1,5,5,2,3,2,4,2,1,1,68,2,4,4,4,3,5,5,5,2,2,5,2,4,2,3,4,4,5,2,3,2,4,4,5,1,4,1,4,2,2,2,2,1,4,3,2,1,3,4,4,4,2,2,4,2,4,2,5,1,3,1,3,2,4,5,4,4,4,3,1,1,"4,3","3,9","3,8","3,6","3,7","3,7","3,5","2,8","4,4","4,4","3,7","4,1"
72,209,2,6,2,1,2,4,3,4,4,1,2,4,2,1,4,4,2,3,3,3,5,1,1,1,2,4,4,4,3,5,1,2,1,2,5,1,2,2,4,2,2,3,4,5,3,1,4,3,4,3,2,5,4,5,5,1,1,5,1,3,3,5,5,1,4,1,17,3,4,4,4,3,5,2,4,1,4,4,1,2,1,1,4,5,4,1,1,1,4,4,2,3,3,3,4,2,2,2,2,2,4,2,2,2,4,4,4,3,1,3,3,2,5,3,5,2,2,3,4,3,2,2,1,3,3,2,1,2,"3,6","3,9","3,1","4,3","3,9","3,5","1,7","3,9","4,2","2,6","3,9","3,3"
73,214,2,8,2,1,1,2,2,4,3,5,4,5,2,1,4,5,5,1,2,4,2,2,2,2,2,2,4,2,4,4,4,2,2,2,1,2,2,2,3,2,4,5,4,2,2,1,2,5,4,2,4,4,2,2,3,2,2,2,5,1,4,4,3,2,5,1,6,1,2,4,5,1,2,5,4,1,2,1,4,5,2,2,4,3,2,1,4,1,4,5,2,4,5,2,4,1,2,3,2,2,4,4,5,2,3,4,2,5,4,4,5,3,5,2,4,3,2,4,4,1,2,5,1,4,4,4,2,4,"2,5","2,4","4,5","3,9","3,3","4,6","3,3","3,4","3,5","2,6","3,3","4,5"
74,219,2,8,2,1,1,4,3,4,4,2,4,2,2,4,5,2,5,1,2,4,5,3,2,4,2,4,4,4,2,5,2,4,2,2,4,2,2,4,2,1,4,2,4,4,4,2,4,3,3,2,4,4,2,4,4,4,4,2,2,2,2,2,2,1,2,1,48,2,2,2,4,4,2,4,4,1,2,2,2,5,2,4,4,2,4,2,2,2,4,4,2,2,4,5,3,1,4,2,4,2,4,4,4,4,5,2,4,4,4,2,4,2,4,4,5,1,1,2,2,4,4,4,2,4,4,2,2,2,"3,9","2,9","3,5","3,2","2,9","4,1","3,1","4,2",3,"3,5","3,6","3,8"
75,225,2,14,2,1,1,1,2,4,2,4,2,4,2,1,4,2,5,2,4,4,4,2,3,4,2,3,4,4,3,1,3,3,2,3,3,4,2,3,4,2,3,4,4,4,4,2,3,4,2,3,2,5,3,2,5,2,1,4,4,2,5,3,3,2,2,1,12,3,5,4,4,3,4,3,5,1,4,5,3,4,4,4,3,3,2,2,1,4,4,4,3,3,1,1,3,2,2,4,4,2,2,2,2,3,3,4,4,3,2,3,4,1,4,2,2,2,2,5,5,4,2,3,4,2,2,3,3,1,"3,2","3,3","3,1","3,5","4,4",3,"3,3","3,6","4,1","2,9","3,2","3,4"
76,226,2,7,2,1,2,4,3,5,2,1,4,4,2,5,4,1,4,2,4,3,4,2,3,2,2,1,4,5,1,4,1,3,2,2,1,1,1,2,1,2,5,3,4,4,1,2,3,5,2,5,2,5,1,2,5,4,2,2,5,1,2,2,1,1,1,1,10,5,4,4,1,5,2,4,2,1,2,1,1,4,4,5,5,2,4,4,4,2,4,5,2,2,2,1,4,1,1,1,5,2,2,5,3,5,3,4,2,5,4,2,3,2,4,2,5,1,2,3,4,2,4,5,4,2,4,5,2,2,"4,3","2,7","4,3","3,2","3,4","2,6","4,1","3,9","2,8","3,6","4,3","4,1"
77,228,1,8,2,1,1,5,4,5,2,2,4,4,1,1,4,1,5,1,1,5,4,3,2,1,2,1,5,5,1,5,1,3,1,2,4,1,1,5,5,1,3,4,5,1,5,2,2,4,1,5,1,5,3,1,4,4,1,1,2,1,1,4,5,1,1,1,3,1,4,5,4,3,5,3,3,1,4,2,1,5,1,1,5,5,3,2,4,1,4,4,5,1,5,4,5,1,3,4,1,1,4,3,2,4,5,5,4,4,2,2,4,2,5,3,5,1,1,3,4,2,1,3,3,4,2,3,1,1,"4,1","4,1","3,7","4,6","3,5","4,4","3,4","4,1",5,"3,9","4,8","4,6"
78,232,2,8,3,1,2,5,3,4,2,4,3,4,2,2,5,3,5,2,4,2,4,4,4,2,2,2,5,4,3,4,1,4,2,4,2,2,1,4,3,2,4,5,4,4,3,2,4,3,2,4,5,5,2,1,3,2,1,2,5,2,1,4,3,1,2,1,43,2,1,4,2,3,5,4,2,4,4,1,1,1,4,4,2,4,4,3,2,4,4,4,2,2,4,5,4,2,2,2,3,4,2,2,4,5,3,1,1,3,2,4,3,2,3,4,4,2,5,5,2,4,4,4,4,4,5,2,4,1,"4,2","2,6","2,5","2,3","2,4","2,8","3,7","4,1","3,4","3,3","4,3","3,9"
79,235,2,11,3,1,1,2,5,5,2,5,4,2,1,1,2,2,5,2,1,5,5,4,1,2,2,1,5,4,1,5,3,4,1,4,2,4,3,5,4,4,4,5,4,2,5,1,2,5,3,5,5,5,1,1,1,5,2,5,1,1,5,2,4,2,1,1,51,1,1,5,5,4,2,4,5,2,1,1,1,4,1,2,4,5,4,2,2,1,4,5,4,2,5,1,5,1,4,2,1,2,5,5,5,2,4,5,1,5,4,1,4,1,5,1,4,1,2,4,2,1,4,4,2,5,5,5,2,1,4,"3,1","4,9","3,7","3,9","4,3","4,1","3,4","4,3","4,5","2,7","4,6"
80,236,2,6,4,1,1,4,4,4,2,2,4,2,1,1,2,1,4,1,4,4,4,4,1,2,2,1,4,4,1,5,2,4,2,2,2,3,4,4,2,2,2,2,4,2,4,4,1,4,4,5,2,2,4,2,4,4,2,4,4,2,2,4,5,2,1,1,42,4,5,1,4,1,4,5,5,2,2,2,4,5,2,4,5,2,2,2,2,4,4,4,2,2,2,1,2,2,1,1,2,2,2,4,2,2,4,2,1,5,4,1,5,1,2,2,4,2,1,4,2,2,5,2,4,2,5,4,4,2,"3,4","2,1","4,2","1,9","4,2","3,8","3,8","2,8",4,"3,7","3,5",4
81,237,2,6,2,1,2,5,3,5,2,3,3,5,2,2,4,4,4,1,5,4,4,3,3,1,2,1,4,2,2,2,2,3,2,3,3,2,2,3,3,3,4,5,5,3,4,4,4,3,2,5,3,4,3,2,5,3,1,4,4,3,2,5,4,4,2,1,44,3,2,4,4,3,4,2,4,4,2,2,4,5,4,2,4,4,4,3,4,1,4,4,2,2,2,4,3,2,4,4,2,4,3,2,4,3,5,3,2,3,3,4,4,3,5,3,5,2,2,2,4,2,5,2,2,4,3,3,3,3,3,"2,9","3,5","3,5","2,4","3,6","3,2","2,8",4,"3,1","4,6","3,5"
82,239,2,7,3,1,1,4,4,5,3,3,2,4,1,2,4,1,5,1,4,4,4,2,2,2,2,3,5,4,3,3,1,3,2,3,2,3,2,5,4,2,4,4,5,2,4,2,2,4,1,4,2,4,3,1,4,4,1,3,4,2,3,3,4,1,1,1,4,2,3,2,4,2,4,5,3,4,2,2,3,4,4,4,4,2,2,2,2,3,4,4,1,3,2,2,2,2,3,3,2,3,2,4,4,4,3,3,2,4,2,3,4,2,3,2,4,3,3,3,3,2,4,4,4,3,4,3,4,1,"3,4","2,4","3,9","2,3","3,2","3,5","3,7","3,8","4,3","3,5","4,3","3,9"
83,240,2,8,2,3,2,2,2,2,4,5,4,4,2,4,5,2,4,2,4,2,4,2,1,4,2,2,2,4,2,4,4,2,4,3,2,2,2,2,1,1,5,4,3,4,2,2,3,4,4,2,5,4,1,2,4,4,4,1,4,2,4,3,2,1,2,1,58,4,1,2,4,2,4,2,2,2,1,2,4,4,4,2,1,2,4,1,2,1,4,2,1,4,1,2,5,2,2,1,1,4,2,2,3,2,4,2,1,2,4,2,4,2,2,2,2,2,2,2,2,2,4,4,2,2,4,5,4,4,"3,3",2,"3,3","2,9","2,7","3,5",4,"4,3","1,8","2,9","2,9","4,1"
84,241,2,7,2,1,3,5,2,1,1,3,1,5,2,2,5,2,5,1,4,3,5,1,3,2,2,1,2,4,1,3,1,2,5,5,3,4,1,3,1,1,2,5,5,4,2,1,4,3,1,5,5,5,3,2,5,4,5,1,2,4,1,2,3,1,1,1,37,5,3,2,4,1,2,5,5,1,1,2,2,1,4,4,5,4,4,2,4,2,4,5,2,1,1,2,4,2,1,3,1,1,2,5,4,3,3,5,4,5,5,1,3,3,4,2,4,4,5,4,2,2,5,5,4,2,2,5,4,2,"3,7",2,"4,6","3,3","3,7","2,6",3,"4,5","1,9","3,5","4,9","3,1"
85,246,2,25,2,1,1,5,2,4,4,4,4,5,5,3,4,2,5,2,1,2,2,2,3,2,2,1,4,3,1,4,1,4,1,2,2,2,2,3,3,2,4,5,4,4,3,2,2,3,2,4,4,2,3,1,4,4,3,2,2,2,2,2,2,2,2,1,34,1,3,2,4,3,5,4,3,4,2,2,3,5,2,4,2,2,4,2,3,5,4,2,2,2,4,2,2,3,2,2,1,2,3,4,2,4,4,4,2,3,4,1,4,4,2,2,2,2,1,2,2,4,3,2,2,3,4,3,2,2,"3,9","2,6","3,1",2,"3,2","4,4","3,6","3,3","3,1","3,6","4,3","4,2"
86,248,1,6,2,1,3,5,4,2,1,2,4,4,1,2,5,4,5,1,3,5,5,3,3,4,2,1,5,4,1,2,1,3,5,5,5,2,2,3,4,1,3,2,5,4,2,3,4,4,3,5,5,5,1,4,1,2,2,2,4,2,1,1,2,2,1,1,61,2,2,2,2,2,4,4,4,2,2,4,4,5,1,1,3,4,3,3,2,2,4,3,4,1,2,2,2,2,4,2,2,2,3,4,3,5,5,5,1,2,2,4,2,3,3,2,5,3,2,1,1,2,1,2,5,4,4,4,1,1,"3,5",4,"3,4","2,7","3,4","3,4","3,2","4,1",3,"3,9","3,9","3,3"
87,249,2,10,3,1,2,5,2,5,2,4,4,4,2,2,4,1,5,1,4,5,5,2,2,2,2,2,4,4,4,5,1,3,1,4,1,2,1,4,2,2,4,3,5,2,4,2,4,4,1,4,2,5,4,4,5,2,1,4,4,2,3,4,4,1,1,1,26,2,4,2,4,1,2,5,3,2,2,4,2,1,2,4,4,4,2,3,2,2,4,4,1,3,4,4,2,2,2,4,2,2,2,2,2,4,2,4,2,4,2,4,3,2,2,4,2,4,5,4,2,4,3,4,2,4,2,2,4,1,3,"2,7","3,2","2,6","3,5","3,1","3,5","3,9","4,2","2,9","4,6","3,9"
88,250,2,10,3,1,1,4,4,5,3,3,4,3,1,2,3,1,5,2,1,4,5,4,3,2,2,2,4,3,2,4,4,4,1,4,3,2,2,4,3,1,4,3,2,3,4,3,4,3,2,3,3,3,3,2,3,2,4,2,3,1,2,3,4,2,1,1,15,2,4,1,5,2,1,4,4,1,3,2,1,2,4,1,4,4,4,3,2,2,4,4,1,5,4,2,4,2,1,1,2,1,4,4,2,4,3,2,4,5,4,2,4,1,4,5,2,2,4,1,2,2,4,4,2,3,3,2,4,2,"3,6","2,2","3,6","3,6","3,4","3,4","3,6","3,7","3,8","3,7","3,4",4
89,251,2,9,2,1,2,4,5,5,2,2,4,2,1,2,2,1,4,5,1,5,4,4,2,4,2,2,5,4,1,4,2,4,2,4,2,2,4,4,2,4,4,4,2,4,4,4,2,5,2,5,2,4,2,2,2,4,1,4,4,1,2,1,3,2,1,1,37,1,4,4,4,1,4,4,4,4,2,2,2,5,2,4,3,2,4,4,2,4,4,4,2,2,5,1,4,2,2,1,1,2,2,3,4,2,5,4,2,4,5,2,4,1,3,4,2,2,2,2,2,1,4,2,1,2,2,3,4,2,"3,7","1,8","3,6","2,7",4,"4,4","4,1",3,"4,1","4,5","2,7","4,2"
90,252,2,9,2,1,2,4,4,4,1,4,4,2,2,1,2,2,3,2,4,4,5,5,3,3,2,4,4,4,3,4,2,4,1,3,2,2,3,3,4,4,4,4,2,4,4,2,1,3,2,3,3,3,2,2,1,3,2,4,4,1,5,2,4,2,1,1,1,1,2,3,4,3,4,4,5,2,2,4,2,2,2,4,3,4,4,2,3,2,4,4,2,2,4,4,3,2,3,2,3,1,3,3,2,4,3,3,2,4,3,1,4,3,4,2,3,2,4,3,3,3,4,4,2,4,4,3,2,2,"4,1","3,2","3,6",3,"3,2","3,5","4,2",3,"4,1","3,3","2,8","3,8"
91,253,2,8,3,1,2,4,4,4,2,3,3,3,1,2,3,1,2,1,2,4,3,3,2,1,2,1,4,4,1,4,2,3,2,2,2,4,2,4,2,2,5,3,4,2,2,2,4,4,2,4,3,5,1,4,4,4,1,2,5,2,1,2,3,1,2,1,77,4,5,4,4,2,3,3,5,1,2,2,2,1,1,3,5,2,2,2,2,1,4,5,2,2,2,1,3,2,3,3,4,1,4,3,3,4,3,5,3,3,3,4,3,2,5,2,3,3,4,5,4,2,4,3,3,2,4,3,3,3,"3,1","2,5","3,9","3,8","4,7","2,5","4,1","3,6","3,5","3,9","4,2","3,2"
92,256,2,7,3,1,2,5,2,3,4,3,3,4,1,2,5,1,5,1,3,4,5,3,2,2,2,2,3,4,1,2,2,3,2,2,2,3,2,4,4,1,3,4,4,3,4,2,5,3,1,2,4,5,1,2,4,3,2,2,4,2,3,4,3,1,1,1,48,2,2,3,4,3,5,5,4,1,2,2,1,4,4,1,3,3,3,2,3,1,4,1,2,1,3,2,3,2,2,2,3,2,4,2,5,3,3,4,2,4,4,3,3,1,5,4,2,1,3,4,4,2,4,5,3,3,4,2,4,1,"4,3","2,1",3,"3,8","3,5","3,5","3,8","4,3","3,5","3,1","4,2","3,6"
93,259,1,60,1,1,4,5,2,5,3,5,5,5,5,1,4,5,3,1,5,5,4,1,4,4,2,5,4,3,3,1,1,1,2,3,1,1,4,1,3,3,3,3,5,2,3,5,5,4,2,3,4,3,4,3,5,2,1,1,1,5,1,2,5,5,1,1,36,2,2,5,4,3,3,4,4,4,3,2,1,1,1,1,1,1,3,2,3,1,4,5,3,2,2,1,1,1,5,3,3,1,5,3,3,5,5,5,4,4,4,3,4,1,5,2,3,3,1,1,5,5,3,3,3,3,1,1,5,1,"3,7","2,6","3,1","4,2","3,8","3,5","2,7",3,"4,1","1,8","4,3","2,9"
